vehicle_count,hour,congestion
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
7,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
7,22,LOW
7,22,LOW
7,22,LOW
9,22,LOW
9,22,LOW
9,22,LOW
8,22,LOW
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
11,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
11,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
11,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
11,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
11,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
7,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
11,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
11,22,MEDIUM
11,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
7,22,LOW
7,22,LOW
8,22,LOW
9,22,LOW
8,22,LOW
7,22,LOW
8,22,LOW
7,22,LOW
8,22,LOW
7,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
9,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
9,22,LOW
9,22,LOW
9,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
11,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
11,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
11,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
7,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
8,22,LOW
7,22,LOW
9,22,LOW
9,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
8,22,LOW
9,22,LOW
9,22,LOW
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
11,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
11,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
10,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
8,22,MEDIUM
8,22,MEDIUM
7,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
9,22,MEDIUM
10,22,MEDIUM
9,22,MEDIUM
