vehicle_count,avg_count,hour,congestion
15,15,7,MEDIUM
15,15,7,MEDIUM
15,15,7,MEDIUM
14,14,7,MEDIUM
12,14,7,MEDIUM
13,14,7,MEDIUM
12,13,7,MEDIUM
14,13,7,MEDIUM
14,13,7,MEDIUM
13,13,7,MEDIUM
15,13,7,MEDIUM
15,13,7,MEDIUM
14,13,7,MEDIUM
12,13,7,MEDIUM
12,13,7,MEDIUM
13,13,7,MEDIUM
12,13,7,MEDIUM
12,13,7,MEDIUM
12,13,7,MEDIUM
14,13,7,MEDIUM
12,13,7,MEDIUM
12,13,7,MEDIUM
12,12,7,MEDIUM
13,12,7,MEDIUM
10,12,7,MEDIUM
9,12,7,MEDIUM
9,12,7,MEDIUM
9,12,7,MEDIUM
13,12,7,MEDIUM
13,12,7,MEDIUM
10,11,7,MEDIUM
8,11,7,MEDIUM
9,11,7,MEDIUM
9,11,7,MEDIUM
10,11,7,MEDIUM
12,11,7,MEDIUM
12,11,7,MEDIUM
11,10,7,LOW
11,10,7,LOW
11,10,7,LOW
12,10,7,LOW
13,10,7,LOW
14,10,7,LOW
14,10,7,LOW
14,11,7,MEDIUM
15,11,7,MEDIUM
14,11,7,MEDIUM
14,11,7,MEDIUM
15,12,7,MEDIUM
13,12,7,MEDIUM
13,12,7,MEDIUM
13,12,7,MEDIUM
12,12,7,MEDIUM
14,12,7,MEDIUM
14,13,7,MEDIUM
15,13,7,MEDIUM
14,13,7,MEDIUM
13,13,7,MEDIUM
13,13,7,MEDIUM
11,13,7,MEDIUM
13,13,7,MEDIUM
13,13,7,MEDIUM
12,13,7,MEDIUM
14,13,7,MEDIUM
13,13,7,MEDIUM
13,13,7,MEDIUM
12,13,7,MEDIUM
12,13,7,MEDIUM
12,12,7,MEDIUM
13,12,7,MEDIUM
11,12,7,MEDIUM
13,12,7,MEDIUM
12,12,7,MEDIUM
10,12,7,MEDIUM
11,12,7,MEDIUM
11,12,7,MEDIUM
12,12,7,MEDIUM
10,12,7,MEDIUM
13,12,7,MEDIUM
12,12,7,MEDIUM
11,12,7,MEDIUM
9,11,7,MEDIUM
12,11,7,MEDIUM
11,11,7,MEDIUM
9,11,7,MEDIUM
14,11,7,MEDIUM
13,11,7,MEDIUM
12,11,7,MEDIUM
12,11,7,MEDIUM
13,11,7,MEDIUM
11,11,7,MEDIUM
10,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
12,11,7,MEDIUM
11,11,7,MEDIUM
10,11,7,MEDIUM
10,11,7,MEDIUM
12,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
10,11,7,MEDIUM
11,11,7,MEDIUM
11,11,7,MEDIUM
9,10,7,LOW
10,10,7,LOW
11,10,7,LOW
14,10,7,LOW
12,11,7,MEDIUM
11,11,7,MEDIUM
10,10,7,LOW
13,11,7,MEDIUM
12,11,7,MEDIUM
10,11,7,MEDIUM
11,11,7,MEDIUM
12,11,7,MEDIUM
10,11,7,MEDIUM
12,11,7,MEDIUM
10,11,7,MEDIUM
9,10,7,LOW
9,10,7,LOW
9,10,7,LOW
8,10,7,LOW
9,10,7,LOW
10,10,7,LOW
9,10,7,LOW
9,10,7,LOW
9,10,7,LOW
10,10,7,LOW
9,10,7,LOW
10,10,7,LOW
9,9,7,LOW
10,9,7,LOW
11,9,7,LOW
10,9,7,LOW
10,9,7,LOW
9,9,7,LOW
9,9,7,LOW
9,9,7,LOW
10,9,7,LOW
10,9,7,LOW
10,9,7,LOW
9,9,7,LOW
9,9,7,LOW
9,9,7,LOW
9,9,7,LOW
9,9,7,LOW
10,9,7,LOW
10,9,7,LOW
10,9,7,LOW
9,9,7,LOW
9,9,7,LOW
10,9,7,LOW
10,9,7,LOW
9,9,7,LOW
9,9,7,LOW
8,9,7,LOW
9,9,7,LOW
8,9,7,LOW
9,9,7,LOW
9,9,7,LOW
8,9,7,LOW
7,9,7,LOW
7,8,7,LOW
7,8,7,LOW
7,8,7,LOW
9,8,7,LOW
11,8,7,LOW
9,8,7,LOW
9,8,7,LOW
8,8,7,LOW
